glossary_id,term,category,definition,tkdl_original_term,source_url,verification_status
GLOS-0015,¡ṇaya,¹¢r¤rakriy¢,"Seat, receptacle or dwelling place. It refers to cavities or visceras in the body where the Do¾a (humors), Dh¢tu (body constituents) and Mala (waste products) are contained. These are seven in males and eight in females. Each ¡ºaya is the dwelling place of particular body component and represents a paticular organ as suggested by name e.g.V¢t¢ºaya (large intestine), Pitt¢ºaya (liver & upper part of small intestine), Rakt¢ºaya (heart), ¡m¢ºaya (stomach), Agn¢ºaya (pancreas), Pakv¢ºaya (ceacum) & Garbh¢ºaya (uterus) in females.",¡ºaya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0016,¡ṇcyotana,¹¢l¢kya/ K¢yacikits¢,"One of the eye therapies mentioned in ¡yurveda, it refers to administration of eye drops. Mostly juices of herbs (Svarasa) are used for. Nature & dose of drugs used depends upon Do¾a vitiation.",¡ºcyotana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0017,¡sana,Svasthav ¨tta,"Literally means  'a seat' , the term is specifically used to refer to posture or steady physical position of the body for prolonged meditation.Third and most well known limb of classical A¾°¢¬ga Yoga, ¡sana refers to physical posture of Yoga. It is regarded as a way in which one can experience unity of mind and body, in harmony with the nature. Each ¡sana has a unique therapeutic value and opens a specific energy channel. ¡yurveda regards ¡sana as fixed physical forms, having specific therapeutic as well as preventive aspects that increase or decrease Do¾a by themselves.",¡sana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0018,¡sava-Ariṣ°a,Bhai¾ajya Kalpan¢,"Medicated liquors containing self generated alcohol. The formulations are prepared by placing the drugs (juices or decoction) mixed with sweetening agents (honey/jaggery) and fermenting agents like flower of Woodfordia fruticosa (Linn.) Kurz. in specific proportions in earthen jars for a specific period of time & thus subjecting the drugs to fermentation.While ¡savas  are prepared through fermentation of raw drugs or the juices, the Ari¾°as are prepared through fermentation of decoction of the drugs. These fermented formulations contain permissible amounts of alcohol and have a prolonged shelf life. They improve digestive fire and are easily absorbed.",¡sava-Ari¾°a,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0019,¡sthāpana Basti,K¢yacikits¢,"Medicated decoction based cleansing enemas or intrarectals. Regarded as a part of Pa®acaKarma therapy in ¡yurveda, it involves administration of decoctions of the drugs through anal orifice.The therapeutic procedure has more of cleansing value, hence needs not to be retained for longer time in the body than fortyeight minutes. Used for abdominal as well as nervine disorders of V¢ta. Also known as Niruha Basti. See Basti also.",¡sth¢pana Basti,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0020,¡yuª,Pad¢rtha Vij®¢na,"Literally meaning duration or span of life, the term specifically refers to life. According to ¡yurveda, ¡yuª is a complex four dimensional balanced union of the body (¹¢r¤ra), body's senses (Indriya), mind (Satva) and the spirit (¡tm¢) in a harmonised and co-ordinated manner. Thus the term includes not only physical, but the mental aspects as well.",¡yuª,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0021,¡yurveda,Sa¼hit¢,"Sa¼sk¨ta term composed of two words - ¡yuª (Life) & Veda (knowledge).  Literally it means 'science of life'. It is a holistic, natural and most ancient system of healthcare that originated in India about five thousand years ago. Regarded as an Upaveda of Atharva Veda, it is the only system of medicine that deals with preventive as well as curative aspects. Its aim is to provide guidance regarding food and lifestyle so that healthy people can stay healthy and prescription of medicines for the diseased to improve their health. It has a vivid descripton of beneficial (Hita), non-beneficial (Ahita), happy (Sukha) & unhappy (Dukha) aspects of life.",¡yurveda,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0022,Abhya¬ga,K¢yacikits¢,"A type of external oleation that involves smooth, synchronised, gentle but firm massage or rubbing of body parts with simple or medicated oils in the direction of hair growth. The process involves specific hand movements for specific body parts. Included as a detail in personal hygiene (Svasthav¨tta), daily or periodical massage not only has regional benefits but helps to increase circulation, decrease dryness and balance the vitiated Do¾a. See also Udvartana.",Abhya¬ga,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0023,Agada,K¢yacikits¢,"In general, the term Gada' means disease, thus  A-gada' means freedom from disease. Agada indicates drugs or medicine. Specifically the term is used for the Anti-dotes' or the drugs which counteract the effect of poisons.",Agada,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0024,Agada Taṛtra,A¾°¢¬ga-¡yurveda,"The term refers to food in ¡yurveda.Whatever food is eaten or drunk, which not only provides nutrition but satisfies mind and soul, has been mentioned as ¡h¢ra. Regarded as one of the three sub-pillars of healthy living (Upastambha), ¡h¢ra has been given prime importance in ¡yurveda. ¡yurveda believes we are what we eat and all the diseases are also the outcome of faulty food habits.' ¡h¢ra has been furthur classified into two types: wholesome diet (Hita ¡h¢ra) and unwholesome diet (Ahita ¡h¢ra).",Agada Ta¼tra,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0025,Agni,K¢yacikits¢,"Literally the term stands for fire. It is the essential form of fire and heat in the body. It kindles all the biological processes of life. Responsible for generation of body heat, temperature, vision and digestion, it forms the basis of digestive system. Its function is transformation, absorption and elimination and is imperative to digestion and metabolism. Agni is of thirteen types: one Ja°har¢gni, five Bh¦t¢gnis & seven Dh¢tv¢gnis.",Agni,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
GLOS-0026,Agnikarma,¹alya,"Therapeutic thermal cauterisation. Specifically, AgniKarma refers to burning, scalding or scarring of organic tisssue by means of a hot iron rod (Dagdhaºal¢k¢) or similar appliances. Regarded as the best parasurgical procedure in ancient ¡yurvedika surgery, it is used as a final resort to treatment of disorders which are incurable with herbal medicine or surgery. Diseases treated with AgniKarma disappear & do not recur.",Agnikarma,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,verified
