source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-037,Ayurveda,Brihat Nighantu Ratnakara - Vol.-1 (Part I),,Compiled by Gangavishnu Shri Krishna Das,"Khemaraja Shrikrishnadas Prakashana, Mumbai-4",Edn. 1995,1995,"Compiled by Gangavishnu Shri Krishna Das ,Translated by Shri Dattarama Shrikrishnalala Mathura, Published by Khemaraja Shrikrishnadas Prakashana, Mumbai-4, Edn. 1995",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-038,Ayurveda,Chakradattah,Cakrapanidatta,Translated by Indradeva Tripathi,Chaukhamba Sanskrit Sansthan (Varanasi),Edn. 4th,2002,"Translated by Indradeva Tripathi, Published by Chaukhamba Sanskrit Sansthan (Varanasi), Edn. 4th 2002.",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-039,Ayurveda,Charaka Samhita - Vol.-I,Agnivesha,translated by P.V Sharma,"Chaukhamba Orientalia, Varanasi",Edn. 6th,2000,"Edited & translated by P.V Sharma, Published by Chaukhamba Orientalia, Varanasi, Edn. 6th, 2000",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-040,Ayurveda,"Charaka Samhita, Vol.-II",Agnivesha,translated by P.V Sharma,"Chaukhamba Orientalia, Varanasi",Edn. 5th,2000,"Edited & translated by P.V Sharma, Published by Chaukhamba Orientalia, Varanasi, Edn. 5th, 2000.",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-041,Ayurveda,Charu Chikitsa,,,"Unjha Pharmacy, Gujarat",4th edition,1950,"Complied by Vaidya Gopinathaji Gupt, Published by Unjha Pharmacy, Gujarat, 4th edition 1950",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-042,Ayurveda,Chikitsa kalika,Tisatacharya,,"Chaukhambha Surbharati Prakashan, Varanasi",,1987,"Sanskrit commentary by Chandrata & Editing with English Commentary by Priyavrata Sharma, Published by Chaukhambha Surbharati Prakashan, Varanasi, First Edition,1987",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-043,Ayurveda,Dhanvantarinighantu,Mahendra Bhaugika,Edited by P.V. Sharma & translated by Guru Prasad Sharma,"Chaukhambha Orientalia, Varanasi",Edn. 3rd,2002,"Edited by P.V. Sharma & translated by Guru Prasad Sharma, Published by Chaukhambha Orientalia, Varanasi, Edn. 3rd, 2002",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-044,Ayurveda,Dravyaguna Sangraha,Cakrapani Datta,translated by Umapati Mishra,Chaukhambha Surbharati Prakashan (Varanasi),Edn. 1st,2009,"Commentary by Shivadasa sen, edited & translated by Umapati Mishra, Published by Chaukhambha Surbharati Prakashan (Varanasi), Edn. 1st 2009",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-045,Ayurveda,Gadanigraha - Part-1 (Prayoga Khanda),Sodhala,Edited by Ganga Sahaya Pandeya & Commentary by Indradeva Tripathi Published by Chaukhamba Sanskrit Sansthan,"Chaukhamba Sanskrit Sansthan, Varanasi",Edn. 3rd,1999,"Edited by Ganga Sahaya Pandeya & Commentary by Indradeva Tripathi Published by Chaukhamba Sanskrit Sansthan, Varanasi,  Edn. 3rd 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-046,Ayurveda,Gadanigraha - Part-2 (Kaya Chikitsa Khanda),Sodhala,Edited by Ganga Sahaya Pandeya & Commentary by Indradeva Tripathi,Chaukhamba Sanskrit Sansthan (Varanasi),Edn. 3rd,1999,"Edited by Ganga Sahaya Pandeya & Commentary by Indradeva Tripathi, Published by Chaukhamba Sanskrit Sansthan (Varanasi), Edn. 3rd 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
