source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-090,Ayurveda,Rasayogaratnakara,,Translated by Pammi Satyanarayana Sastry,"Ayurveda Library Trust, 2- Geeta Apartments",Edn. 2005,2005,"Translated by Pammi Satyanarayana Sastry, Editied by Koppula Hemadri,, Dr. Achanta Lakshmipathi Published by Ayurveda Library Trust, 2- Geeta Apartments, New Ayodhyanagar, (Vijayawada),  Ist Edn. 2005",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-091,Ayurveda,Rasendrachintamani,Dundukanatha,Translated by  Siddhinandan Mishra,Chaukhamba Orientalia (Varanasi),Edn. 1st,1999,"Translated by  Siddhinandan Mishra, Published by Chaukhamba Orientalia (Varanasi), Edn. 1st 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-092,Ayurveda,Rasendrachudamani,Somadeva,Translated by Siddhinandan Mishra,Chaukhamba Orientalia (Varanasi),Edn. 2nd,1999,"Translated by Siddhinandan Mishra, Published by Chaukhamba Orientalia (Varanasi), Edn. 2nd 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-093,Ayurveda,Rasendramangalam -Part I,Nagarjun,,"Chaukhambha Orientalia, Varanasi",Edn. 1st,2003,"Commentary and English Translation by H.S. Sharma, Published by Chaukhambha Orientalia, Varanasi, Edn. 1st 2003",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-094,Ayurveda,Rasendrasambhava,Vishwanath Dwivedi,,"Krishnadas Academy, Varanasi",,1997,"Published by Krishnadas Academy, Varanasi, 1997",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-095,Ayurveda,Rasendrasarasangraha,Gopalakrishna Bhatta,,"Chaukhambha Orientalia, Varanasi",Edn. 3rd,2003,"Commentary by Indradeva Tripathi, Published by Chaukhambha Orientalia, Varanasi, Edn. 3rd  2003",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-096,Ayurveda,Sahastrayoga,Govt of India,Translated by D.V. Panditarao,"Central Council for Research in Ayurveda & Siddha, New Delhi",,1990,"Translated by D.V. Panditarao, Published by Central Council for Research in Ayurveda & Siddha, New Delhi, 1990",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-097,Ayurveda,Sharangadhara Samhita,Sharangadhara charya,Translated by Smt. Shailaja Srivastava,"Chaukhamba Orientalia, Varanasi",Edn. 2nd,1998,"Translated by Smt. Shailaja Srivastava, Published by  Chaukhamba Orientalia, Varanasi, Edn. 2nd, 1998.",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-098,Ayurveda,Siddaprayogalatika,Acharya Gulraj Sharma Mishra,Translated by Vaidya Shivakaran Sharma Chhangani,Chaukhamba Orientalia (Varanasi),Edn. 2nd,2005,"Translated by Vaidya Shivakaran Sharma Chhangani, Published by Chaukhamba Orientalia (Varanasi), Edn. 2nd 2005",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-099,Ayurveda,Siddhabheshajamanimala,Krishnaram Bhatta,,"Chaukhambha Krishnadas Academy, Varanasi",Edn. 3rd,2003,"Commentary by Kaladhara Bhatta, Published by Chaukhambha Krishnadas Academy, Varanasi, Edn. 3rd  2003",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-100,Ayurveda,Siddhayogasangraha,,Compiled by Yadavji Trikamji Acharya,"Shri Baidyanath Ayurved Bhawan, Allahabad",Edn. 1st,1978,"Compiled by Yadavji Trikamji Acharya, Published by Shri Baidyanath Ayurved Bhawan, Allahabad, Edn. 1st 1978",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-101,Ayurveda,Sodhalanighantu (Namasangraha Va Gunasangraha),Sodhala,Edited by P.V. Sharma,"Oriental Institute, Baroda",Edn 1st,1978,"Edited by P.V. Sharma, Published by Oriental Institute, Baroda, Edn 1st 1978",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-102,Ayurveda,Sushruta Samhita - Vol.-I,Sushruta,translated by P.V Sharma,"Chaukhamba Vishvabharati, Varanasi",,1999,"Edited & translated by P.V Sharma, Published by Chaukhamba Vishvabharati, Varanasi, Edn. Ist, 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-103,Ayurveda,Sushruta Samhita - Vol.-II,Sushruta,translated by P.V Sharma Published by Chaukhamba Visvabharati,"Chaukhamba Visvabharati, Varanasi",,2000,"Edited & translated by P.V Sharma Published by Chaukhamba Visvabharati, Varanasi, Edn. Ist, 2000",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-104,Ayurveda,Sushruta Samhita - Vol.-III,Sushruta,translated by P.V Sharma,"Chaukhamba Vishvabharati, Varanasi",,2001,"Edited & translated by P.V Sharma, Published by Chaukhamba Vishvabharati, Varanasi, Edn. Ist, 2001.",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-105,Ayurveda,"The Ayurvedic  Pharmacopoeia of India - Part 1, Vol-II",Govt of India,,"Govt of India,Ministry of Health & Family Welfare",,,"Published by Govt of India,Ministry of Health & Family Welfare",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-106,Ayurveda,"The Ayurvedic  Pharmacopoeia of India - Part 1, Vol-III",Govt of India,,"Govt of India, Ministry of Health & Family Welfare",,2001,"Published by Govt of India, Ministry of Health & Family Welfare, Edn. First 2001",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-107,Ayurveda,"The Ayurvedic  Pharmacopoeia of India - Part 1, Vol.-I",Govt of India,,"Govt of India, Ministry of Health & Family Welfare",Edn. 1st,2001,"Published by Govt of India, Ministry of Health & Family Welfare, Deptt. Of I.S.M. & H., New Delhi, Edn. 1st, Reprinted - 2001,",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-108,Ayurveda,Trishati,Sharangadhar,,"Bhartiya Kala Prakashan, Delhi",Edition 2005,2005,"Commentary by  Ram Prasad, Published by Bhartiya Kala Prakashan, Delhi, Edition 2005.",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-109,Ayurveda,Vaidyajivanam,Lolimbaraja,,"Chaukhamba Orientalia, Varanasi Edn. 2nd 1995",Edn. 2nd,1995,"Commentary by Indradeva Tripathi, Published by Chaukhamba Orientalia, Varanasi Edn. 2nd 1995",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-110,Ayurveda,Vaidyamanorama,Kali Dasa,,"Central Council for Research in Ayurveda & Siddha, Govt. of India",Edn. 2005,2005,"Hindi translation, Published by Central Council for Research in Ayurveda & Siddha, Govt. of India, New Delhi, Edn. 2005",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-111,Ayurveda,Vangasena,Vangasena,Edited by Shankar lalji Jain,"Khemraj Shrikrishna Das Prakashan, Bombay",Edn. 1996,1996,"Commentary by Shaligram Vaishya, Edited by Shankar lalji Jain, Published by Khemraj Shrikrishna Das Prakashan, Bombay, Edn. 1996",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-112,Ayurveda,Vrihad Yoga Tarangini Part - I,Trimalla Bhatta,Edited by Hanumanta Shastri,Ananda Ashram Mudranalya,Edn. 1914,1914,"Edited by Hanumanta Shastri, Published by Ananda Ashram Mudranalya, Edn. 1914",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-113,Ayurveda,Vriksha Ayurveda,Surapala Muni,Edited by Shrikrishna Jugnu,"Chaukhambha Sanskrit Series Office, Varanasi",Edn.2004,2004,"Commentary & Edited by Shrikrishna Jugnu, Published by Chaukhambha Sanskrit Series Office, Varanasi, Edn.2004",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-114,Ayurveda,Vrinda Vaidyaka,Vrinda,Translated by Hariharaprasad Tripathi,"Chaukhambha Krishnadas Academy (Varanasi), Frist edition",,2007,"Translated by Hariharaprasad Tripathi, Published by Chaukhambha Krishnadas Academy (Varanasi), Frist edition, 2007",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-115,Ayurveda,Vrindamadhava,Madhava,translated by Datto vallala Borkar,"Yagyeshwara Gopal Dixit, Bookseller",Edn. 1922,1922,"Marathi translated by Datto vallala Borkar, Published by Yagyeshwara Gopal Dixit, Bookseller, Pune, Edn. 1922",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-116,Ayurveda,Yogachintamani,Harshakirti,Translated by Dattaram Chaube,"Khemraj Shrikrishnadas, Shri Venkateshwar Press",,2006,"Translated by Dattaram Chaube, Published by Khemraj Shrikrishnadas, Shri Venkateshwar Press, Mumbai, Edition, November -2006",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-117,Ayurveda,Yogaratnakara,,Edited by  Brahmashankara Shastri,Chaukhamba Sanskrit Sansthan (Varanasi) Edn. 7th 2002,Edn. 7th,2002,"Commentary by  Lakshmipatishastri, Edited by  Brahmashankara Shastri, Published by Chaukhamba Sanskrit Sansthan (Varanasi) Edn. 7th 2002",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-118,Ayurveda,Yogaratnakara,,,"Chaukhamba Sanskrit Sansthan, Varanasi",Edn. 8th,2004,"Commentary by  Lakshmipatishastri, Published by Chaukhamba Sanskrit Sansthan, Varanasi, Edn. 8th 2004",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-119,Ayurveda,Yogatrangini,Trimalla Bhatta,,"Chaukhamba Vidyabhavan, Varanasi",,2003,"Commentary by Duttarama Mathura, Published by Chaukhamba Vidyabhavan, Varanasi, Edn. Reprint 2003",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
